Note Number,Description
163,"Dark red stone (limestone?) very hard, but scratched by steel."
164,"From burnt potter's rubbish in N. part of town; level 370. Vth cent. B.C. (?)."
165,"See No. 78."
167,"White marble, rather soft, weathered."
168,"Hard white limestone."
169,"From burnt potter's rubbish in N. town. Level 280. VIth cent. B.C."
172,"Hollow bronze case, about two-thirds filled with lead."
176,"From long house walls, S.W. in town. Vth cent. B.C. (?)."
187,"Light brown and white limestone, soft."
193,"From middle of E. side of town. Level 340. Early VIth cent. B.C. The fraction of one-fifth of the shekel appears to be unlikely, but there is another, No. 271, and another of the same form, but one-fourth shekel, No. 270; and the form is essentially Syrian. It will be observed that the three kat weights of this type have more ridge in the middle, and are of black bronze, unlike these. I have also a one shekel, exactly of this type, and bronze (bought in Cairo, 1885), and a bronze two shekel, pierced at one end, from Beirut."
194,"Soft decaying limestone."
201,"Black-green porphyry, with grey-green crystals."
203,"Hard white limestone, weathering brown and smooth; Mokattam stone (?)."
204,"Hard white limestone (see No. 111). Found with large find of bronzes, middle of IIIrd cent. B.C."
205,"Found in temenos of Apollo, with drab bowls, painted with eyes. End of VIth cent. B.C."
208,"See No. 11."
213,"Found with No. 237; both of fine form."
217,"Soft, jet-black, highly polished, limestone. I have one similar in form and material, of 132.2 (Cairo, 1884)."
220,"Hard light brown limestone, good work."
222,"From burnt potter's rubbish in N. town. Level 370. Vth cent. B.C. (?)."
224,"Fine work, and polished; slightly too low and upright sides for pure domed type."
227,"Dark grey limestone pebble, ground down on under side."
230,"From middle of E. side of town. Level 400. Vth cent. B.C."
237,"Found with No. 213."
238,"Hard pale pink limestone. I have a similar one from Thebes (1885), but rather darker, weighing 94.9, which is apparently the Æginetan drachma; but the form seems to be derived from the duck weights, and is somewhat analogous to Nos. 220 and 267."
239,"From the bottom of the second chamber from the east, on the S. side of the great mound."
241,"From middle of E. side of town. Level 400. Middle of Vth cent. B.C. (?)."
243,"Very hard greenish-grey limestone (?)."
246,"Hard, jet-black, highly-polished limestone. Hole in under face, to adjust by lead plugging (?)."
250,"Softish white limestone; fairly well made."
252,"Browny-grey limestone; rather dissolved on the surface."
253,"Hard browny-white limestone, brown face."
255,"Certainly Assyrian by the multiple. We now reach the debatable ground of Attic and Assyrian standards."
256,"Sides too straight and curves too fine to be likely to be Attic."
257,"Rather too straight and regular for Attic."
258,"So nearly cubic that it cannot be Attic."
259,"Rather too good a form for Attic."
260,"Might be an Attic form, but the material is against it."
261,"Hardish dark brown-grey mottled limestone, very liable to crack. The form is distinctively Syrian, and this is the only one found here. The stone is like one from Syria."
262,"Assyrian by the fraction, probably; no quarter drachma is known, but quarter shekels are found here."
263,"Assyrian by the tapering form and the rosette pattern. There is a similar weight in the Brit. Mus., with a rosette, weighing now 651.4, or five shekels of 130.4, a high standard agreeing closely with this."
264,"From middle of E. side of town. Level 400. Middle of Vth cent. B.C. Shekel, because found with No. 241 of same form, which is three shekels, and also with No. 230, five shekels."
265,"Frog weight. Several frog weights are known in bronze and stone, but they do not seem to be all on the same standard; most of them are shekels, however. That they are weights seems likely from their never having been pierced or attached to any object, and from weights in the form of a frog being represented in sculptures. (See ""Archæological Journal,"" xl. 421.)"
266,"Too fine in shape for an Attic weight, and certainly Assyrian by the multiple."
267,"Ovoid of the modified duck type, therefore probably Assyrian; an ovoid Attic (No. 320) is flattened on the top, not like this."
268,"Too nearly cubic for Attic weights; and 268 found with Assyrian weights, Nos. 230, 241, 264, and 272. Level 400. Vth cent. B.C."
269,"Too nearly cubic for Attic weights; and 268 found with Assyrian weights, Nos. 230, 241, 264, and 272. Level 400. Vth cent. B.C."
270,"No Attic weights known of this type, which is Assyrian."
271,"No Attic weights known of this type, which is Assyrian."
272,"Assyrian by the tapering form, and found with Nos. 230, 241, 264, and 268. Level 400. Vth cent. B.C."
273,"Though this is a lower standard than any other Attic weight here, yet it is so precisely the proportions of the weights Nos. 288 and 323, the latter of which cannot be attributed to the Assyrian shekel, that it seems more likely, in the absence of any similar weight which is clearly Assyrian, that this class is all Attic. The style of this also, the rounding of the edges and bulging of the sides, is more Attic, and alabaster is rather commoner in Attic than in Assyrian weights."
274,"This is of the same class as the preceding."
275,"Lead, almost unknown in Assyrian weights, and therefore Attic."
276,"Lead, almost unknown in Assyrian weights, and therefore Attic."
277,"Attic by the multiple; 12½ shekels is never met with."
278,"Attic for the same reason."
279,"Of yellowish limestone, with purple-grey patches. A similar weight in form and colour is No. 357; and being probably both of one standard they must be Attic."
280,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
281,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
282,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
283,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
284,"Hard white limestone, badly made, like No. 313. From this, and the form, probably Attic."
285,"Attic by multiples."
286,"Attic by multiples."
287,"Attic by multiples."
288,"See 273."
289,"like 315 in form and colour; therefore Attic."
290,"Attic by multiples. We have now reached so far beyond the usual range of the shekels that weights should be attributed to the Attic standard, unless there is strong evidence for the Assyrian."
291,"Attic by multiples. We have now reached so far beyond the usual range of the shekels that weights should be attributed to the Attic standard, unless there is strong evidence for the Assyrian."
292,"Attic by multiples. 292. Hard white limestone. A hole in the top is partly filled with lead; this was probably put in to adjust the weight; but it is possible that there was a handle leaded in, which is now lost. We have now reached so far beyond the usual range of the shekels that weights should be attributed to the Attic standard, unless there is strong evidence for the Assyrian."
294,"Fine hard white limestone."
296,"Fair white limestone, but powdery on surface."
299,"Fine hard white limestone."
306,"Chiselled down to a flat surface below, and rough chipped to a fairly smooth curve above. Hard white limestone."
313,"Soft white limestone."
316,"The only leaden weight of the type so common at Alexandria; nearly all the lead of Naukratis is in thinner pieces, or flat sheets."
332,"Looks more as if a mediæval piece."
333,"Like 306, but under side a face of dressed building stone (?)."
338,"Burnt white limestone, powdery. The X on the top may be the Roman numeral X."
352,"Hardish grey limestone."
353,"Fine hard white limestone, colour and form as 299."
354,"Attic, and not kat standard by the multiples."
355,"Attic, and not kat standard by the multiples."
356,"Attic by the connection with No. 279."
357,"Attic by the rounded form."
358,"Attic by the multiples."
359,"Attic by the multiples."
360,"Phœnician by resemblance to 383."
361,"A very hard black silicate, taking a high polish; like Nos. 401, 435, and 451; all rectangular, two Phœnician, and two Æginetan."
368,"Browny-white quartzite; rough in shape, with a hollow in the top."
371,"White marble, crumbly."
377,"Found in loose stuff over the scarab factory."
379,"Found just inside the E. wall of the temenos of the Dioskouroi. Vth cent. B.C. (?)."
380,"Brownish-grey limestone pebble, ground flat below; like 227, but browner."
386,"Looks much like a piece of a granite corn-rubber, trimmed down at the ends, and rounded."
389,"From burnt potter's rubbish in N. town. Level 300. VIth cent. B.C."
397,"Found with Assyrian weights. (See 268.) Level 400. Vth cent. B.C."
399,"Very peculiar form, as if two barrel weights conjoined."
400,"Hard polished white limestone (or magnesite?) flawed."
401,"See No. 361."
404,"White limestone, like Nos. 203, 204, 253."
409,"Hard white limestone."
418,"A remarkable example of a bronze case with less than one-sixth filled with lead."
419,"Hard browny-white limestone."
422,"White saccharine marble."
425,"Softish grey limestone."
426,"Harder grey-brown limestone; these four disc weights (422, 425 to 427), closely agreeing is remarkable, as the type does not occur again."
434,"Black and white syenite, like No. 2, &c."
435,"See 361."
444,"Very soft white limestone."
451,"See 361."
455,"Hard greyish-white limestone."
461,"This very strange block has been hollowed out with a conical hole in the top; this hole is picked, and not ground, except just at the edge; hence it cannot be the head-piece for a bow-drill. It is possibly intended to hold a metal weight."
464,"Hard browny-white limestone."
475,"Finely worked, and with a hole in the bottom for adjustment by lead plugging. Found in Ptolemaic house on E. side of town, IIIrd cent. B.C., with Nos. 13, 65, 281, and 489. Find 93."
477,"Hard white limestone."
479,"The three marks on this weight (see fig. 94) are inlaid with silver, and the weight is of fine work. There is a square bronze weight in Brit. Mus., from Egypt, marked T Θ H, which weighs 176.2. If it were divided by 9 (in accordance with the Θ) there would be a unit of 19.6, which might go 12 times in 241; but such a unit would not agree with any standard, unless it were one-fourth of the 80-grain standard, to which this is already classed."
484,"Soft white limestone; roughly shaped."
489,"Found with Nos. 13, 65, 281, and 475 in Ptolemaic house of IIIrd cent. B.C. Find 93."
494,"The two marked on this refers prpbably to its being half of the uncia; compare similar marks for fractions on Assyrian lion weights, and the numeration of Triens, Quadrans, Quincunx, and Sextans."
495,"This is a type of form very usual in black stone weights. (See Brit. Mus.)"
498,"This type of weight has never been attributed yet; such weights are placed among the unclassed at Bulak, and are unlabelled in the British Museum. As this type is commonly to be met with in the bazaars of Cairo in use, and not showing any signs of great age, and as none of the weights of this type show such signs as Ptolemaic and earlier weights show, it seems clear that they are Cufic and Arabic. As, further, the unit of them is exactly the dirhem, and wukiyeh of 10 dirhems, there cannot remain any doubt on the question."
500,"These discs are of a curious type; they agree to the wukiyeh, they do not show any sign of great age, and disc weights are in common use among the Arabs now."
512,"This is one of the latest class of glass weights, with the flowing Arab script, instead of the Cufic. These glass weights, and Arab weights in general, were many of them bought of travelling dealers at Nebireh market, and none of them belong to the site of Naukratis."
513,"These discs are of a curious type; they agree to the wukiyeh, they do not show any sign of great age, and disc weights are in common use among the Arabs now."
